Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of a healthy diet in PPP dollars [CoHD_PPP],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Population [Pop],"GDP per capita, PPP (current international $) [NY.GDP.PCAP.PP.CD]",Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop]
Food Prices for Nutrition 5.0,FPN 5.0,Albania,ALB,2017,YR2017,3.04,..,29.2,2898242,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Albania,ALB,2018,YR2018,3.13,..,20.9,2894231,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Albania,ALB,2019,YR2019,3.32,..,18.4,2885010,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Albania,ALB,2020,YR2020,3.4,..,17.6,2871954,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Albania,ALB,2021,YR2021,3.49,0.08,16,2849635,..,0.17
Food Prices for Nutrition 5.0,FPN 5.0,Albania,ALB,2022,YR2022,4.17,..,14.2,2827608,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Albania,ALB,2023,YR2023,4.88,..,13.9,2811655,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Albania,ALB,2024,YR2024,4.99,..,12.6,2791765,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Albania,ALB,2025,YR2025,5.16,..,11.9,2771508,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Algeria,DZA,2017,YR2017,4.09,..,41.3,41689299,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Algeria,DZA,2018,YR2018,4.16,..,40.6,42505035,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Algeria,DZA,2019,YR2019,4.18,..,40.1,43294546,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Algeria,DZA,2020,YR2020,4.2,..,43.2,44042091,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Algeria,DZA,2021,YR2021,4.47,0.14,43,44761099,..,0.16
Food Prices for Nutrition 5.0,FPN 5.0,Algeria,DZA,2022,YR2022,5.01,..,43.4,45477389,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Algeria,DZA,2023,YR2023,5.41,..,43.5,46164219,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Algeria,DZA,2024,YR2024,5.53,..,41.8,46814308,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Algeria,DZA,2025,YR2025,5.56,..,38.8,47435312,..,..
Food Prices for Nutrition 5.0,FPN 5.0,Angola,AGO,2017,YR2017,3.18,..,60.1,30234839,..,..
