Country Name,Country Code,Series Name,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2335.79586234454,2432.27670083336,2583.48533239877,2561.98176058622,2144.16657002819,2122.65936199211,2203.53761869487,2236.19907311431,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492,43844111
Afghanistan,AFG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,54.3,57.6,63.1,70.1,79.1,80.9,80.8,..,..
Africa Eastern and Southern,AFE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3843.02837944545,3727.71078455171,3804.53383380234,3707.03361237873,4022.27765875061,4359.59140659761,4496.7448983176,4635.1250488764,4840.26519950124
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,640058741,657801085,675950189,694446100,713090928,731821393,750491370,769280888,788844284
Africa Eastern and Southern,AFE,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Africa Eastern and Southern,AFE,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,59.283478,58.2646766,59.3438952,61.2403823,61.9723111,63.1840693,62.937689,63.9751855,..
Africa Western and Central,AFW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,5035.76239103569,5188.36799985052,5491.68793497457,5423.59440539157,5702.13488630478,6232.32301367722,6538.81203828952,6840.33388231922,7184.66448266193
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,440150152,451395343,462522286,473687685,484978794,496366058,508318102,520655398,532809933
Africa Western and Central,AFW,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Africa Western and Central,AFW,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,47.6013373,49.8311863,50.9904848,55.7717529,61.4786939,61.1492962,62.0727261,63.7917938,..
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14110.6720568255,15055.3473824585,16442.0254754945,16287.6136733864,18212.794718288,22138.4966146921,24847.5057998051,26701.7649330157,28220.7950617158
Albania,ALB,"Population, total",SP.POP.TOTL,2648285,2607733,2567801,2528480,2489762,2451636,2411658,2377128,2349580
Albania,ALB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,1.4,1,0.3,0.3,..,..,..,..,..
Albania,ALB,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,38.6,37.1,33.8,30.9,30.2,32.2,33,..,..
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13493.560749484,13727.1266357859,13892.5333446205,12676.5130564294,14496.8654697299,15833.5847271335,16838.3550419037,17646.332598878,18586.2607480579
Algeria,DZA,"Population, total",SP.POP.TOTL,41689299,42505035,43294546,44042091,44761099,45477389,46164219,46814308,47435312
Algeria,DZA,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Algeria,DZA,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,19.8,17.6,17.6,19,19.4,18.9,17.6,..,..
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,51586,50908,50209,49761,49225,48342,47521,46765,46029
American Samoa,ASM,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Andorra,AND,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,53084.8639640903,55244.6554088177,57475.0692842215,52095.8414004627,59332.2029100127,68459.2247863103,71789.7907855414,75394.8581564469,79566.7925868466
Andorra,AND,"Population, total",SP.POP.TOTL,73763,75162,76474,77380,78364,79705,80856,81938,82904
Andorra,AND,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Andorra,AND,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8125.70639391928,8370.22875787099,8621.65930812477,7782.15153413853,8720.18768742123,9373.4083091956,9549.79313920752,9963.59020874287,10251.3457063657
Angola,AGO,"Population, total",SP.POP.TOTL,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849,39040039
Angola,AGO,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,39.3,..,..,..,..,..,..,..
Angola,AGO,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,73.5,77.7,78.5,..,..,..,..
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,21422.0021576627,24524.2137953887,26550.589844733,22370.0918693813,25745.4958067746,29761.8058055292,31892.5519402733,33351.5904481886,35832.4795485115
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,90468,90926,91364,91846,92349,92840,93316,93772,94209
Antigua and Barbuda,ATG,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,13.5,13.5,13.5,..,..
Arab World,ARB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,14494.5144598753,15578.8139057756,15767.3970459926,14338.4686513157,16056.1999979133,17982.9465916669,18535.5718250448,18963.7188719868,19783.1661012207
Arab World,ARB,"Population, total",SP.POP.TOTL,428315886,435998060,444281315,453723239,460646603,471352066,482105978,492612632,503356133
Arab World,ARB,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..
Arab World,ARB,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,23385.0740904917,24410.3919063335,23516.8261980886,22393.3479575353,26300.274261175,29804.0832363731,30246.4069577192,30475.3876517556,32586.6312086783
