country_name,country_code,year,cost_healthy_diet_ppp,affordability_ratio,pct_cannot_afford_healthy_diet,veg_cost_share,population,gdp_per_capita,poverty_headcount_pct,food_insecurity_pct
Angola,AGO,2017,3.18,,60.1,,30234839.0,8125.70639391928,,
Brunei Darussalam,BRN,2017,4.11,,,,432772.0,61657.6802725444,,
Burkina Faso,BFA,2017,2.77,,68.4,,19894407.0,2042.40295259917,,38.9
Cabo Verde,CPV,2017,3.16,,56.5,,512893.0,7935.76176281072,,37.7
Canada,CAN,2017,3.08,,3.7,,36808497.0,48317.500303004,0.4,5.0
Chad,TCD,2017,2.82,,67.2,,15622759.0,2097.14425483604,,74.7
Costa Rica,CRI,2017,3.54,,53.6,,4913177.0,20499.3442145104,1.7,13.7
Estonia,EST,2017,3.14,,13.7,,1317425.0,34506.6486942506,0.5,8.2
Eswatini,SWZ,2017,3.36,,69.3,,1158195.0,8584.31100767837,,
Finland,FIN,2017,2.53,,1.1,,5508396.0,47234.8528600939,0.1,8.3
France,FRA,2017,2.58,,2.3,,65284776.0,44469.1458856805,0.0,6.3
"Gambia, The",GMB,2017,2.69,,43.6,,2342189.0,2038.95429850128,,52.7
Grenada,GRD,2017,4.43,,23.4,,115438.0,15041.4525712067,,23.6
Guyana,GUY,2017,4.62,,78.2,,768479.0,12243.2225968541,,
India,IND,2017,2.77,,59.8,,1359657400.0,5968.11490280172,,
Iraq,IRQ,2017,3.32,,23.4,,39337353.0,10191.6616988639,,
Israel,ISR,2017,2.51,,22.3,,8361797.0,39350.730387912,0.7,12.2
Italy,ITA,2017,2.74,,11.1,,60390318.0,42142.3435406885,1.5,
Latvia,LVA,2017,3.04,,32.5,,1942594.0,25763.9907709703,1.0,9.4
Lithuania,LTU,2017,2.85,,24.3,,2829313.0,31305.0436934372,1.2,12.3
Malaysia,MYS,2017,3.1,,4.4,,32355644.0,26415.5960203287,,15.1
Panama,PAN,2017,4.19,,52.7,,4098707.0,33533.3260079329,4.3,
Paraguay,PRY,2017,3.74,,27.1,,6338660.0,13977.3427788651,2.4,15.6
Poland,POL,2017,2.95,,19.8,,38254959.0,30170.2818974087,0.4,5.3
Portugal,PRT,2017,2.64,,22.1,,10330844.0,32970.8395386562,0.4,11.6
Rwanda,RWA,2017,3.05,,81.6,,12202060.0,1949.12266322999,,
Saudi Arabia,SAU,2017,2.46,,,,30782402.0,53120.4572456269,,
South Africa,ZAF,2017,3.0,,60.9,,57635162.0,13738.4385854596,,
St. Kitts and Nevis,KNA,2017,3.37,,,,47050.0,29578.6311625727,,
Tajikistan,TJK,2017,,,,,9085946.0,3017.00314887354,,29.6
Viet Nam,VNM,2017,3.27,,11.1,,95176977.0,9169.73192052855,,6.2
West Bank and Gaza,PSE,2017,2.53,,5.9,,4742743.0,6106.64574037122,,26.3
Algeria,DZA,2018,4.16,,40.6,,42505035.0,13727.1266357859,,17.6
"Bahamas, The",BHS,2018,4.24,,,,392717.0,35227.7619063243,,
Bolivia,BOL,2018,3.61,,13.0,,11508368.0,10758.4075594003,4.7,
Bosnia and Herzegovina,BIH,2018,4.13,,16.9,,3387000.0,14858.6247595644,,9.2
Haiti,HTI,2018,4.05,,78.1,,10962362.0,3196.97386370614,,
Iceland,ISL,2018,2.41,,1.6,,352854.0,58105.5882495515,0.3,7.2
Lao PDR,LAO,2018,3.77,,58.4,,7128045.0,7486.86452700433,15.7,
Luxembourg,LUX,2018,2.59,,2.4,,608101.0,116638.414163882,0.3,3.3
Mali,MLI,2018,2.97,,53.8,,20442030.0,2684.41122026577,29.4,25.2
Nigeria,NGA,2018,2.96,,69.5,,204938755.0,7158.17107558117,34.2,47.1
North Macedonia,MKD,2018,3.3,,22.6,,1919728.0,18460.5440872584,4.3,14.4
Sao Tome and Principe,STP,2018,2.63,,44.0,,210187.0,3941.03280858409,,
Senegal,SEN,2018,2.72,,49.5,,15914498.0,3380.21596529445,19.1,35.1
South Sudan,SSD,2018,3.12,,90.8,,10122977.0,,,84.9
St. Lucia,LCA,2018,3.8,,8.1,,177017.0,17433.3010328737,,
Suriname,SUR,2018,4.33,,20.4,,599513.0,17855.4787141437,,
Tanzania,TZA,2018,2.3,,74.2,,57437145.0,2727.88012695313,51.3,56.1
United Kingdom,GBR,2018,1.75,,3.9,,66752475.0,47636.0128366551,0.4,4.9
Bahrain,BHR,2019,3.3,,,,1485670.0,56599.5214364411,,
Burundi,BDI,2019,3.1,,88.0,,12255336.0,868.423731660834,,
Cambodia,KHM,2019,3.68,,,,16481304.0,6153.99439528427,,38.6
China,CHN,2019,2.85,,22.9,,1423520357.0,17600.8907568493,0.0,
